,Unnamed: 0,Question,Qrep,Answer,Rep,Skill,Dataset,p,MacroCat,text,label,label2
516,516,"In qualità di (specificare ruolo), come descriverebbe l’obiettivo del servizio erogato dalle Residenze per l’Esecuzione delle Misure di Sicurezza?",descrizione,Lo scopo è quello della riabilitazione psichiatrica e di una stabilizzazione del paziente a lungo termine in modo da favorire il reinserimento nei contesti sociali;,descrizione,J,AG,"('green', 0, 1)",green,Lo scopo è quello della riabilitazione psichiatrica e di una stabilizzazione del paziente a lungo termine in modo da favorire il reinserimento nei contesti sociali;,green,descrizione
518,518,"In qualità di (specificare ruolo), come descriverebbe l’obiettivo del servizio erogato dalle Residenze per l’Esecuzione delle Misure di Sicurezza?",descrizione,Penso che l’obiettivo del servizio erogato dalle REMS sia ottimo,giudizio,J,AG,"('red', 3, 1)",red,Penso che l’obiettivo del servizio erogato dalle REMS sia ottimo,red,giudizio
522,522,"In qualità di (specificare ruolo), come descriverebbe l’obiettivo del servizio erogato dalle Residenze per l’Esecuzione delle Misure di Sicurezza?",descrizione,"L'obiettivo è il reinserimento del paziente affetto da disturbo mentale e ritenuto socialmente pericoloso in quanto autore di reato, in famiglia o comunque nel luogo di residenza",descrizione,J,AG,"('green', 0, 1)",green,"L'obiettivo è il reinserimento del paziente affetto da disturbo mentale e ritenuto socialmente pericoloso in quanto autore di reato, in famiglia o comunque nel luogo di residenza",green,descrizione
526,526,"In qualità di (specificare ruolo), come descriverebbe l’obiettivo del servizio erogato dalle Residenze per l’Esecuzione delle Misure di Sicurezza?",descrizione,"L'obiettivo della REMS può essere considerato come ""facilitatore"" tra l'internato e i servizi territoriali di appartenenza,",giudizio,J,AG,"('red', 3, 1)",red,"L'obiettivo della REMS può essere considerato come ""facilitatore"" tra l'internato e i servizi territoriali di appartenenza,",red,giudizio
530,530,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"Una ragazza giovane, appena maggiorenne, viene prima molestata verbalmente e poi stuprata da un uomo sulla via del ritorno a casa, dopo una serata passata con amici. La ragazza era sola",descrizione,J,AG,"('green', 0, 1)",green,"Una ragazza giovane, appena maggiorenne, viene prima molestata verbalmente e poi stuprata da un uomo sulla via del ritorno a casa, dopo una serata passata con amici. La ragazza era sola",green,descrizione
531,531,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"e vestita con abiti da sera ""provocanti""",giudizio,J,AG,"('red', 3, 1)",red,"e vestita con abiti da sera ""provocanti""",red,giudizio
532,532,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,Un uomo segue una ragazza in una via poco illuminata e la aggredisce senza che lei possa chiedere aiuto,descrizione,J,AG,"('green', 0, 1)",green,Un uomo segue una ragazza in una via poco illuminata e la aggredisce senza che lei possa chiedere aiuto,green,descrizione
534,534,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"Un uomo si accorge durante una festa di una ragazza molto ubriaca e approfittando del suo stato di semi incoscienza la convince a venire con lui in una camera o in auto e la costringe ad avere un rapporto sessuale, oppure un gruppo di persone decidono di costringere con la violenza una persona a prestarsi a ripetuti rapporti sessuali",descrizione,J,AG,"('green', 0, 1)",green,"Un uomo si accorge durante una festa di una ragazza molto ubriaca e approfittando del suo stato di semi incoscienza la convince a venire con lui in una camera o in auto e la costringe ad avere un rapporto sessuale, oppure un gruppo di persone decidono di costringere con la violenza una persona a prestarsi a ripetuti rapporti sessuali",green,descrizione
535,535,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,Stupro nel parco,descrizione,J,AG,"('green', 0, 1)",green,Stupro nel parco,green,descrizione
536,536,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"Un episodio di violenza sessuale è caratterizzato da tentativi da parte dell'aggressore di avere un rapporto sessuale con la vittima , trattenendo la vittima con la forza ad esempio bloccandole le braccia",descrizione,J,AG,"('green', 0, 1)",green,"Un episodio di violenza sessuale è caratterizzato da tentativi da parte dell'aggressore di avere un rapporto sessuale con la vittima , trattenendo la vittima con la forza ad esempio bloccandole le braccia",green,descrizione
537,537,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"immagino uno scenario in cui una ragazza è in un locale a divertirsi con degli amici. Durante la serata non si accorge che qualcuno mette della droga nel suo bicchiere. Diventando praticamente incosciente, il violentatore ha pieno controllo del suo corpo. In questo caso può abusare di lei ovunque, nei bagni del locale, in un vicolo,in macchina o portandolo a casa sua.",descrizione,J,AG,"('green', 0, 1)",green,"immagino uno scenario in cui una ragazza è in un locale a divertirsi con degli amici. Durante la serata non si accorge che qualcuno mette della droga nel suo bicchiere. Diventando praticamente incosciente, il violentatore ha pieno controllo del suo corpo. In questo caso può abusare di lei ovunque, nei bagni del locale, in un vicolo,in macchina o portandolo a casa sua.",green,descrizione
538,538,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"Diversi uomini in un locale decidono di abusare di una giovane ragazza, in stato ebbrezza, violentandola ripetutamente ed a turno.",descrizione,J,AG,"('green', 0, 1)",green,"Diversi uomini in un locale decidono di abusare di una giovane ragazza, in stato ebbrezza, violentandola ripetutamente ed a turno.",green,descrizione
539,539,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"Una ragazza viene drogata a una festa e il ragazzo che l'ha drogata per non lasciare tracce di stupro l'ha presa da dietro. La ragazza gli diceva di no e cercava di scrollarselo di dosso, Lui ha continuato",descrizione,J,AG,"('green', 0, 1)",green,"Una ragazza viene drogata a una festa e il ragazzo che l'ha drogata per non lasciare tracce di stupro l'ha presa da dietro. La ragazza gli diceva di no e cercava di scrollarselo di dosso, Lui ha continuato",green,descrizione
543,543,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"un uomo che picchia una donna e approfitta di lei. Un episodio che succede per strada, quindi l'aggressore è uno sconosciuto. Magari l'uomo segue la vittima, e nel momento opportuno approfitta di lei",descrizione,J,AG,"('green', 0, 1)",green,"un uomo che picchia una donna e approfitta di lei. Un episodio che succede per strada, quindi l'aggressore è uno sconosciuto. Magari l'uomo segue la vittima, e nel momento opportuno approfitta di lei",green,descrizione
544,544,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,un'esempio di episodio di violenza sessuale è quando un uomo o una donna vengono obbligati (non c'è quindi consenso da parte di quest'ultimo/a) a fare qualcosa da un terzo/i,descrizione,J,AG,"('green', 0, 1)",green,un'esempio di episodio di violenza sessuale è quando un uomo o una donna vengono obbligati (non c'è quindi consenso da parte di quest'ultimo/a) a fare qualcosa da un terzo/i,green,descrizione
545,545,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"la donna viene picchiata, non può urlare a causa di una mano sulla bocca. Il tutto avviene in un vicolo buio, dove non passano persone e quindi dove la vittima non può chiedere aiuto. Le vengono strappati i vestiti di dosso e le viene messa una mano sulla bocca per impedirle di urlare",descrizione,J,AG,"('green', 0, 1)",green,"la donna viene picchiata, non può urlare a causa di una mano sulla bocca. Il tutto avviene in un vicolo buio, dove non passano persone e quindi dove la vittima non può chiedere aiuto. Le vengono strappati i vestiti di dosso e le viene messa una mano sulla bocca per impedirle di urlare",green,descrizione
546,546,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"Una giovane donna stuprata in un casolare abbandonato da un gruppo di coetanei, uno dei quali intratteneva una relazione sentimentale con lei.",descrizione,J,AG,"('green', 0, 1)",green,"Una giovane donna stuprata in un casolare abbandonato da un gruppo di coetanei, uno dei quali intratteneva una relazione sentimentale con lei.",green,descrizione
547,547,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"Un uomo, su un autobus, che si tocca in pubblico, venendo addosso ad una ragazza accanto a lui",descrizione,J,AG,"('green', 0, 1)",green,"Un uomo, su un autobus, che si tocca in pubblico, venendo addosso ad una ragazza accanto a lui",green,descrizione
548,548,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,Un gruppo di 15 molestarono una ragazza,descrizione,J,AG,"('green', 0, 1)",green,Un gruppo di 15 molestarono una ragazza,green,descrizione
549,549,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"facendole pesanti apprezzamenti, spesso sfociando nel volgare e nel sessuale,",giudizio,J,AG,"('red', 3, 1)",red,"facendole pesanti apprezzamenti, spesso sfociando nel volgare e nel sessuale,",red,giudizio
550,550,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"nessuno dei presenti fece nulla, rimasero tutti a guardare,",descrizione,J,AG,"('green', 0, 1)",green,"nessuno dei presenti fece nulla, rimasero tutti a guardare,",green,descrizione
552,552,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"Più passava il tempo più gli apprezzamenti si fecero pesanti,",giudizio,J,AG,"('red', 3, 1)",red,"Più passava il tempo più gli apprezzamenti si fecero pesanti,",red,giudizio
553,553,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,ed iniziarono anche a esserci i primi contatti (…) la ragazza tirò uno schiaffo ad uno dei molestatori ed iniziò ad urlare la gente intervenne (episodio ipotetico),descrizione,J,AG,"('green', 0, 1)",green,ed iniziarono anche a esserci i primi contatti (…) la ragazza tirò uno schiaffo ad uno dei molestatori ed iniziò ad urlare la gente intervenne (episodio ipotetico),green,descrizione
554,554,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"la gente nonostante ciò si limitava solo ad osservare, solo quando…",giudizio,J,AG,"('red', 3, 1)",red,"la gente nonostante ciò si limitava solo ad osservare, solo quando…",red,giudizio
555,555,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"Lo scorso sabato notte una donna ha chiamato il pronto intervento a causa della violenza sessuale subita. La donna, dopo il tentativo di ribellione nei confronti dell'aggressore, ha dichiarato di essere stata obbligata a subire atti sessuali poichè era stata minacciata dall'utilizzo di un coltello esibito dal suo aggressore (non conosciuto).",descrizione,J,AG,"('green', 0, 1)",green,"Lo scorso sabato notte una donna ha chiamato il pronto intervento a causa della violenza sessuale subita. La donna, dopo il tentativo di ribellione nei confronti dell'aggressore, ha dichiarato di essere stata obbligata a subire atti sessuali poichè era stata minacciata dall'utilizzo di un coltello esibito dal suo aggressore (non conosciuto).",green,descrizione
556,556,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"Una mía conoscente riferisce di essere stata oggetto di carezze ai genitali, ovviamente indesiderate, da parte di un suo familiare anziano, all'età di sei anni.",descrizione,J,AG,"('green', 0, 1)",green,"Una mía conoscente riferisce di essere stata oggetto di carezze ai genitali, ovviamente indesiderate, da parte di un suo familiare anziano, all'età di sei anni.",green,descrizione
557,557,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"Durante una gita scolastica, un ragazzo ha mostrato le proprie parti intime di fronte ad una ragazza scherzando",descrizione,J,AG,"('green', 0, 1)",green,"Durante una gita scolastica, un ragazzo ha mostrato le proprie parti intime di fronte ad una ragazza scherzando",green,descrizione
558,558,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,e muovendosi in maniera offensiva.,giudizio,J,AG,"('red', 3, 1)",red,e muovendosi in maniera offensiva.,red,giudizio
559,559,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"Una donna passeggia al buio, viene tratta con la forza in un vicolo e costretta ad avere un rapporto sessuale dopo essere stata insultata e picchiata",descrizione,J,AG,"('green', 0, 1)",green,"Una donna passeggia al buio, viene tratta con la forza in un vicolo e costretta ad avere un rapporto sessuale dopo essere stata insultata e picchiata",green,descrizione
561,561,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"Uno stupro per strada, in cui l'aggressore agisce contro la volontà della vittima.",descrizione,J,AG,"('green', 0, 1)",green,"Uno stupro per strada, in cui l'aggressore agisce contro la volontà della vittima.",green,descrizione
563,563,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"Un ragazzo che, in discoteca, dopo aver notato una bella ragazza al bancone del bar, le offre un drink insistentemente. Dopo svariati rifiuti, la ragazza alla fine accetta ma, oramai deciso, il ragazzo mette una pasticca nel bicchiere di lei, drogandola e portandola fuori dal locale, per poi percuoterla e abusare di lei sessualmete.",descrizione,J,AG,"('green', 0, 1)",green,"Un ragazzo che, in discoteca, dopo aver notato una bella ragazza al bancone del bar, le offre un drink insistentemente. Dopo svariati rifiuti, la ragazza alla fine accetta ma, oramai deciso, il ragazzo mette una pasticca nel bicchiere di lei, drogandola e portandola fuori dal locale, per poi percuoterla e abusare di lei sessualmete.",green,descrizione
564,564,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"Una donna esce di sera, dal lavoro, e nel tragitto, a causa di strade poco trafficate, la aggredisce prendendola alle spalle e la percuote per stordirla",descrizione,J,AG,"('green', 0, 1)",green,"Una donna esce di sera, dal lavoro, e nel tragitto, a causa di strade poco trafficate, la aggredisce prendendola alle spalle e la percuote per stordirla",green,descrizione
565,565,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,Mi viene da pensare al caso del soggetto che sotto effetto di alcol o di qualche sostanza vede una ragazza,descrizione,J,AG,"('green', 0, 1)",green,Mi viene da pensare al caso del soggetto che sotto effetto di alcol o di qualche sostanza vede una ragazza,green,descrizione
566,566,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,vestita in maniera provocante,giudizio,J,AG,"('red', 3, 1)",red,vestita in maniera provocante,red,giudizio
567,567,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"e la vuole avvicinare, lei lo allontana, a lui non importa molto e la porta via da dove si trovano, la spoglia e contro la sua volontà la bacia etc.",descrizione,J,AG,"('green', 0, 1)",green,"e la vuole avvicinare, lei lo allontana, a lui non importa molto e la porta via da dove si trovano, la spoglia e contro la sua volontà la bacia etc.",green,descrizione
568,568,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"Oppure il caso di violenza sessuale casalingo, dove la moglie si rifiuta di realizzare il rapporto sessuale,",descrizione,J,AG,"('green', 0, 1)",green,"Oppure il caso di violenza sessuale casalingo, dove la moglie si rifiuta di realizzare il rapporto sessuale,",green,descrizione
569,569,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,il marito magari è violento,giudizio,J,AG,"('red', 3, 1)",red,il marito magari è violento,red,giudizio
572,572,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,lui prevarica con la forza fisica e la violenta,descrizione,J,AG,"('green', 0, 1)",green,lui prevarica con la forza fisica e la violenta,green,descrizione
573,573,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"Fatto realmente accaduto. Una giovane 32 anni esce da un bar di sera per rincasare, viene aggredita da due individui, rapinata di auto, borsa e sequestrata tutta la notte in un casolare abbandonato e ripetutamente violentata dai due, salvatasi perché riuscita a scappare",descrizione,J,AG,"('green', 0, 1)",green,"Fatto realmente accaduto. Una giovane 32 anni esce da un bar di sera per rincasare, viene aggredita da due individui, rapinata di auto, borsa e sequestrata tutta la notte in un casolare abbandonato e ripetutamente violentata dai due, salvatasi perché riuscita a scappare",green,descrizione
574,574,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"Una mia amica, di anni 50, separata, ha conosciuto attraverso un sito di incontri un uomo",descrizione,J,AG,"('green', 0, 1)",green,"Una mia amica, di anni 50, separata, ha conosciuto attraverso un sito di incontri un uomo",green,descrizione
575,575,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"che si è presentato subito avvenente, premuroso e simpatico.",giudizio,J,AG,"('red', 3, 1)",red,"che si è presentato subito avvenente, premuroso e simpatico.",red,giudizio
576,576,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,È iniziata una conoscenza che è sfociata in una relazione chiusa.,descrizione,J,AG,"('green', 0, 1)",green,È iniziata una conoscenza che è sfociata in una relazione chiusa.,green,descrizione
578,578,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,e ai primi segni di una ribellione anche quella sessuale,descrizione,J,AG,"('green', 0, 1)",green,e ai primi segni di una ribellione anche quella sessuale,green,descrizione
579,579,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"Ipotetico stupro di gruppo: tutti minorenni, vittima e violentatori",descrizione,J,AG,"('green', 0, 1)",green,"Ipotetico stupro di gruppo: tutti minorenni, vittima e violentatori",green,descrizione
580,580,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"Sono stato adescato, da piccolo, da un pedofilo, senza conseguenze fisiche perché sono intervenuti degli adulti",descrizione,J,AG,"('green', 0, 1)",green,"Sono stato adescato, da piccolo, da un pedofilo, senza conseguenze fisiche perché sono intervenuti degli adulti",green,descrizione
581,581,"Le chiediamo di descrivere un episodio di violenza sessuale. Può fare riferimento ad un episodio reale di sua conoscenza, oppure ad un episodio ipotetico.",descrizione,"In più occasioni picchia la convivente, in alcune circostanze anche alla presenza del figlio minorenne e di altri familiari della donna, costringendola, contro la sua volontà, ad avere continui rapporti sessuali che riprendeva con il proprio cellulare. L'uomo è stato arrestato su denuncia presentata dalla vittima.",descrizione,J,AG,"('green', 0, 1)",green,"In più occasioni picchia la convivente, in alcune circostanze anche alla presenza del figlio minorenne e di altri familiari della donna, costringendola, contro la sua volontà, ad avere continui rapporti sessuali che riprendeva con il proprio cellulare. L'uomo è stato arrestato su denuncia presentata dalla vittima.",green,descrizione
583,583,"Quali sono gli elementi che le consentono di riconoscere la scena descritta come un episodio di violenza sessuale (e non, ad esempio, un episodio “generico” di violenza)?",descrizione,le molestie verbali a sfondo sessuale da parte di uomini nei confronti di una ragazzina (potrebbe valere lo stesso per quanto riguarda uomini nei confronti di altri uomini).,descrizione,J,AG,"('green', 0, 1)",green,le molestie verbali a sfondo sessuale da parte di uomini nei confronti di una ragazzina (potrebbe valere lo stesso per quanto riguarda uomini nei confronti di altri uomini).,green,descrizione
584,584,"Quali sono gli elementi che le consentono di riconoscere la scena descritta come un episodio di violenza sessuale (e non, ad esempio, un episodio “generico” di violenza)?",descrizione,Il fatto che avvenga un rapporto sessuale non consenziente e che la violenza sia premeditata verso un individuo del sesso opposto,descrizione,J,AG,"('green', 0, 1)",green,Il fatto che avvenga un rapporto sessuale non consenziente e che la violenza sia premeditata verso un individuo del sesso opposto,green,descrizione
585,585,"Quali sono gli elementi che le consentono di riconoscere la scena descritta come un episodio di violenza sessuale (e non, ad esempio, un episodio “generico” di violenza)?",descrizione,"gli elementi che mi portano a riconoscere la violenza sessuale sono appunto tutti quegli atti legati strettamente alla sfera sessuale, dalla palpata al seno al bacio rubato con uso della forza passando dalla fellatio o penetrazione.",descrizione,J,AG,"('green', 0, 1)",green,"gli elementi che mi portano a riconoscere la violenza sessuale sono appunto tutti quegli atti legati strettamente alla sfera sessuale, dalla palpata al seno al bacio rubato con uso della forza passando dalla fellatio o penetrazione.",green,descrizione
586,586,"Quali sono gli elementi che le consentono di riconoscere la scena descritta come un episodio di violenza sessuale (e non, ad esempio, un episodio “generico” di violenza)?",descrizione,"la presenza di un rapporto sessuale, specie se accompagnata da molestie o da pratiche di stalking; oppure l'utilizzo di sostanze (droghe o alcool)",descrizione,J,AG,"('green', 0, 1)",green,"la presenza di un rapporto sessuale, specie se accompagnata da molestie o da pratiche di stalking; oppure l'utilizzo di sostanze (droghe o alcool)",green,descrizione
589,589,"Quali sono gli elementi che le consentono di riconoscere la scena descritta come un episodio di violenza sessuale (e non, ad esempio, un episodio “generico” di violenza)?",descrizione,"Il tentativo da parte dell'agressore di creare un contatto intimo con la vittima, che questa non gradisce",descrizione,J,AG,"('green', 0, 1)",green,"Il tentativo da parte dell'agressore di creare un contatto intimo con la vittima, che questa non gradisce",green,descrizione
592,592,"Quali sono gli elementi che le consentono di riconoscere la scena descritta come un episodio di violenza sessuale (e non, ad esempio, un episodio “generico” di violenza)?",descrizione,Perché si è configurato un atto che prevedeva la costrizione di un individuo a compiere atti sessuali contro la sua volontà.,descrizione,J,AG,"('green', 0, 1)",green,Perché si è configurato un atto che prevedeva la costrizione di un individuo a compiere atti sessuali contro la sua volontà.,green,descrizione
593,593,"Quali sono gli elementi che le consentono di riconoscere la scena descritta come un episodio di violenza sessuale (e non, ad esempio, un episodio “generico” di violenza)?",descrizione,"La mancanza di consenso da parte della vittima,",descrizione,J,AG,"('green', 0, 1)",green,"La mancanza di consenso da parte della vittima,",green,descrizione
595,595,"Quali sono gli elementi che le consentono di riconoscere la scena descritta come un episodio di violenza sessuale (e non, ad esempio, un episodio “generico” di violenza)?",descrizione,Anche solo palpare una sconosciuta.,descrizione,J,AG,"('green', 0, 1)",green,Anche solo palpare una sconosciuta.,green,descrizione
597,597,"Quali sono gli elementi che le consentono di riconoscere la scena descritta come un episodio di violenza sessuale (e non, ad esempio, un episodio “generico” di violenza)?",descrizione,l'uomo che tocca la vittima senza il suo consenso.,descrizione,J,AG,"('green', 0, 1)",green,l'uomo che tocca la vittima senza il suo consenso.,green,descrizione
599,599,"Quali sono gli elementi che le consentono di riconoscere la scena descritta come un episodio di violenza sessuale (e non, ad esempio, un episodio “generico” di violenza)?",descrizione,"il fatto che le siano stati strappati i vestiti di dosso, che sia stata picchiata, che non fosse consenziente la vittima",descrizione,J,AG,"('green', 0, 1)",green,"il fatto che le siano stati strappati i vestiti di dosso, che sia stata picchiata, che non fosse consenziente la vittima",green,descrizione
601,601,"Quali sono gli elementi che le consentono di riconoscere la scena descritta come un episodio di violenza sessuale (e non, ad esempio, un episodio “generico” di violenza)?",descrizione,"Lo sperma sul braccio della ragazza, che lei non fosse consenziente e fosse comunque in un luogo pubblico",descrizione,J,AG,"('green', 0, 1)",green,"Lo sperma sul braccio della ragazza, che lei non fosse consenziente e fosse comunque in un luogo pubblico",green,descrizione
602,602,"Quali sono gli elementi che le consentono di riconoscere la scena descritta come un episodio di violenza sessuale (e non, ad esempio, un episodio “generico” di violenza)?",descrizione,"apprezzamenti pesanti,",giudizio,J,AG,"('red', 3, 1)",red,"apprezzamenti pesanti,",red,giudizio
603,603,"Quali sono gli elementi che le consentono di riconoscere la scena descritta come un episodio di violenza sessuale (e non, ad esempio, un episodio “generico” di violenza)?",descrizione,"fotografie fatte di nascosto a scollature o altre zone ""importanti"", contatto non consenziente, anche il semplice sfiorare, e poi ovviamente lo stupro.",descrizione,J,AG,"('green', 0, 1)",green,"fotografie fatte di nascosto a scollature o altre zone ""importanti"", contatto non consenziente, anche il semplice sfiorare, e poi ovviamente lo stupro.",green,descrizione
604,604,"Quali sono gli elementi che le consentono di riconoscere la scena descritta come un episodio di violenza sessuale (e non, ad esempio, un episodio “generico” di violenza)?",descrizione,"Subire atti sessuali, ""obbligata"".",descrizione,J,AG,"('green', 0, 1)",green,"Subire atti sessuali, ""obbligata"".",green,descrizione
605,605,"Quali sono gli elementi che le consentono di riconoscere la scena descritta come un episodio di violenza sessuale (e non, ad esempio, un episodio “generico” di violenza)?",descrizione,"La violazione della persona, in questo caso anche estremamente giovane, nella sua intimità.",descrizione,J,AG,"('green', 0, 1)",green,"La violazione della persona, in questo caso anche estremamente giovane, nella sua intimità.",green,descrizione
606,606,"Quali sono gli elementi che le consentono di riconoscere la scena descritta come un episodio di violenza sessuale (e non, ad esempio, un episodio “generico” di violenza)?",descrizione,"Il mancato consenso da parte dell'altro, spesso manifestato dal tentativo di allontanare la persona offensiva.",descrizione,J,AG,"('green', 0, 1)",green,"Il mancato consenso da parte dell'altro, spesso manifestato dal tentativo di allontanare la persona offensiva.",green,descrizione
607,607,"Quali sono gli elementi che le consentono di riconoscere la scena descritta come un episodio di violenza sessuale (e non, ad esempio, un episodio “generico” di violenza)?",descrizione,"La penetrazione, la forzata sottomissione della vittima",descrizione,J,AG,"('green', 0, 1)",green,"La penetrazione, la forzata sottomissione della vittima",green,descrizione
608,608,"Quali sono gli elementi che le consentono di riconoscere la scena descritta come un episodio di violenza sessuale (e non, ad esempio, un episodio “generico” di violenza)?",descrizione,"Il fatto che la vittima non è consenziente, non può chiedere aiuto, è bloccata dall'aggressore senza poter far nulla per evitare quello che sta succedendo",descrizione,J,AG,"('green', 0, 1)",green,"Il fatto che la vittima non è consenziente, non può chiedere aiuto, è bloccata dall'aggressore senza poter far nulla per evitare quello che sta succedendo",green,descrizione
610,610,"Quali sono gli elementi che le consentono di riconoscere la scena descritta come un episodio di violenza sessuale (e non, ad esempio, un episodio “generico” di violenza)?",descrizione,Il ragazzo decide di mettere una pasticca nel suo bicchiere col fine di abusare di lei,descrizione,J,AG,"('green', 0, 1)",green,Il ragazzo decide di mettere una pasticca nel suo bicchiere col fine di abusare di lei,green,descrizione
