,TESTO DELLA DOMANDA,REPERTORIO DELLA DOMANDA,STRALCIO,DENOMINAZIONE SENIOR,DENOMINAZIONE JUNIOR
709,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"lavori umilianti malpagati a solo vantaggio per le cooperative sociali checontinuano ad arricchirsi a scapito di tossicodipendenti, detenuti, portatori di handicap ecc.ecc. e una storia vecchia!!!",SPECIFICAZIONE,SPECIFICAZIONE
710,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,nulle,sancire,GIUDIZIO
711,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"non ci sono'dentro, n' fuori, dato che di buttano fuori marchiata a fuoco a vita",sancire,SPECIFICAZIONE
712,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,e la gente mette un duro muro di falso perbenismo e così torni alla vita di prima inevitabilmente!,sancire,CAUSA
713,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,pochi e difficili da ottenere,GIUDIZIO,GIUDIZIO
714,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,si puo all'educazione stando in contatto con persone dell'esterno,PRESCRIZIONE,sancire
715,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,cioe un educatore,SPECIFICAZIONE,SPECIFICAZIONE
716,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,descrivo che non ci trattamenti rieducativi,sancire,sancire
717,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,c'e solo un po' po' di passaggio e poi in cella chiusi,SPECIFICAZIONE,CONFERMA
718,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,sicuramente ricreativo,VALUTAZIONE,GIUDIZIO
719,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,ai fini di poter sostenere il detenuto nel fargli affrontare le giornate pesanti all'interno della struttura interna,VALUTAZIONE,SPECIFICAZIONE
720,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,abbastanza bene,GIUDIZIO,GIUDIZIO
721,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,le opportunita consentitemi sono state scarse rispetto alle possibili e reali potenzialita che avrebbero potuto darmi,GIUDIZIO,GIUDIZIO
722,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,io personalmente posso andare all aria,NON RISPOSTA,NON RISPOSTA
723,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,non riesco,sancire,NON RISPOSTA
724,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,e molto complicato accedere a quelle opportunita,GIUDIZIO,GIUDIZIO
725,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,io con la mia mansione ho potuto accedere alla mof,DESCRIZIONE,DESCRIZIONE
726,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,che mi ha permesso di fare qualche prova su mie capacita,SPECIFICAZIONE,SPECIFICAZIONE
727,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,e cosi sono rimasto al lavoro tuttora di cui mi trovo benissimo anche con gli appuntati di cui agente penitenziario,GIUDIZIO,CONFERMA
728,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"ci viene concessa 2 ore d' aria la mattina e l ora e mezza al pomeriggio, e dalle 17 alle 18//30 ci viene concessa la socialita, ogni mercoledi ci viene concessa 1 ora e mezza di attivita sportiva (pallone) la domenica ci viene concesso di poter andare a messa.",DESCRIZIONE,DESCRIZIONE
729,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,non so,sancire,NON RISPOSTA
730,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,per il momento svolgo mansioni operative all interno dell' istituto per una ditta esterna che si occupa di grafica pubblicitaria,DESCRIZIONE,DESCRIZIONE
731,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"e mi ritengo soddisfatto anche perch' di meglio credo che nell' istituto non ci sia al momento nulla di meglio, le altre attivita sono monotone e superflue",GIUDIZIO,OPINIONE
732,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,lavorative,sancire,sancire
733,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,a nessun tipo di trattamento,NON RISPOSTA,sancire
734,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,abbastanza bene,GIUDIZIO,GIUDIZIO
735,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"per me la rieducazioni e basata sul rapporto psicologico, aiuto all interno dell' istituto calcolando i tempi di attesa per i colloqui con gli educatori e sul tipo di colloquio",OPINIONE,OPINIONE
736,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,e l'esito del colloquio è fondamentale,GIUDIZIO,GIUDIZIO
737,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,e fondamentale inoltre che quello che si dice nel colloquio sia reale e non mipotetico senno e meglio lasciare perdere,GIUDIZIO,VALUTAZIONE
738,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,a mio parere bisognerebbe avere colloqui pi- frequenti con l'educatore incaricato di seguirci nel nostro percorso rieducativo,OPINIONE,OPINIONE
739,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,sufficienti,GIUDIZIO,GIUDIZIO
740,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,se applicate,CONFERMA,CONFERMA
741,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,le opportunita di trattamento pessime,VALUTAZIONE,GIUDIZIO
742,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,in quanto ci sono solo 2 ore di aria il mattino ed 1 ora e mezzo il pomeriggio ed il resto del giorno e della notte chiusi in cella come altre 2 persone,COMMENTO,SPECIFICAZIONE
743,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,(disumano),COMMENTO,COMMENTO
744,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,attivita culturali (servizio bibliotecario) ottima,GIUDIZIO,GIUDIZIO
745,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,anche perch' perch' leggere un libro è importante,CONFERMA,CONFERMA
746,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,sufficienti,GIUDIZIO,GIUDIZIO
747,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,un trattamento discreto,GIUDIZIO,GIUDIZIO
748,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,avere piu colloqui con gli operatori,GIUDIZIO,PREVISIONE
749,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,mediocre,GIUDIZIO,GIUDIZIO
750,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"rare, difficoltose",VALUTAZIONE,GIUDIZIO
751,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"per reticenza e omerta di detenuti invidiosi e/o appartenenenti a gruppi omogenei (tipo napoletani con napoletani, pugliesi con pugliesi)",VALUTAZIONE,SPECIFICAZIONE
752,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,classico del sistema clienterarist italiano,COMMENTO,CONFERMA
753,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,qui come in tutti i carceri che ho girato l'unica cosa in più c' e la pallavolo e il teatro.,OPINIONE,COMMENTO
754,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,stop.,COMMENTO,CONFERMA
755,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,la legge dice che finch' non viene provata la mia colpevolezza si presume che io sia innocente invece sono trattata come un qualsiasi altro detenuto che magari e gia stato giudicato.,CONTRAPPOSIZIONE,CONTRAPPOSIZIONE
756,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,le stesse restrizioni lo stesso trattamento.,CONTRAPPOSIZIONE,SPECIFICAZIONE
757,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,di quale rieducazine dovrei aver bisogno (?) se si presume l'innocenza?,CONFERMA,CONFERMA
758,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"credo comunque che in via generale non si possa parlare di trattamento, a meno che io non ne sia a conoscenza",OPINIONE,OPINIONE
759,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,buone,CONTRAPPOSIZIONE,GIUDIZIO
760,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,pero pagano poco,CONTRAPPOSIZIONE,SPECIFICAZIONE
761,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,non sono facilmente accessibili,GIUDIZIO,GIUDIZIO
762,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,solo a poche persone,SPECIFICAZIONE,SPECIFICAZIONE
763,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"allora, il carcere non e riabilitativo,",sancire,sancire
764,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"anzi, ti incattivisce e ri fa uscire la rabbia repressa.",CONFERMA,CONFERMA
765,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,lo sport sarebbe rieducativo perch' perch' ti permette di evadere con la mente e vivere in una dimensione più sana.,VALUTAZIONE,PREVISIONE
766,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,purtroppo in questo istituto molto limitato,GIUDIZIO,GIUDIZIO
767,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"purtroppo il carcere non e per niente rieducativo,",GIUDIZIO,sancire
768,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,purtroppo il mondo qui dentro e molto particolare e bisogna tirare fuori i coglioni per riuscire a viverci,GIUDIZIO,CONFERMA
769,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,in questo circondariale ci sono tante opportunità rieducative,GIUDIZIO,GIUDIZIO
770,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"io che sono entrata da 1 mese circa ho capito che ci sono tanti corsi, tipo la pittura, la biblioteca un corso di informatica e yoga che e stato pure già iniziato",DESCRIZIONE,SPECIFICAZIONE
771,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"ma utte le cose come la recitazione e costruzione di artigianatoche oggi non credo ci sia sarebbe bello, come lo sarebbe avere sartoria e attivita sportiva creativa come tennis calcio kingboxing",GIUDIZIO,VALUTAZIONE
772,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,purtroppo in questo istituto non funziona,GIUDIZIO,sancire
773,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,come si direbbe il lavoro non c'è,GIUDIZIO,SPECIFICAZIONE
774,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,e quel poco che resta non e purtroppo da ritenere un rinserimento,GIUDIZIO,CONFERMA
775,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"purtroppoin questo istituto sono molte le opportunità di accedere al trattamento, non per colpa degli operatori ma per copa del sovraffollamento.",GIUDIZIO,CAUSA
776,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,io in questo senso sono stato molto fortunato,GIUDIZIO,GIUDIZIO
777,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,in quanto dopo tre mesi sono riuscito a frequntare un corso di pittura e dopo un anno in lavoro fisso dove lavoro tuttora,SPECIFICAZIONE,SPECIFICAZIONE
778,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,inesistenti o quasi non c' e alcun programma rieducativo,GIUDIZIO,GIUDIZIO
779,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,almeno in questo istituto,SPECIFICAZIONE,SPECIFICAZIONE
780,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,sarebbe utile affinche si trovi interesse culturale e lavorativo ai fini di non tornare a delinquere,RIFERIMENTO ALL'OBIETTIVO,RIFERIMENTO ALL'OBIETTIVO
781,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,molto scarse e difficili,GIUDIZIO,GIUDIZIO
782,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,sarebbe importante essere seguiti dal personale dell'ufficio educatori,GIUDIZIO,COMMENTO
783,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,(molto carente),GIUDIZIO,CONFERMA
784,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,il trattamento rieducativo lascia molto a desiderare,GIUDIZIO,GIUDIZIO
785,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,inesistente,GIUDIZIO,sancire
786,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,lo descriverei con due parole chi lavora lavora e chi non lavora aspetta la graduatoria,sancire,sancire
787,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,e quano e il momento non sempre viene accettato per via del tipo di lavoro,SPECIFICAZIONE,SPECIFICAZIONE
788,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,in quanto e molto assente,GIUDIZIO,GIUDIZIO
789,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,non c'e nessuna opportunita,sancire,sancire
790,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,assente il servizio educatori,GIUDIZIO,COMMENTO
791,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,con i contatti pi- spesso familiari,NON RISPOSTA,COMMENTO
792,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,scadenti,GIUDIZIO,GIUDIZIO
793,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,e un lavoro buono,GIUDIZIO,GIUDIZIO
794,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,mi sento fisicamente bene non sono chiso in cella mi sento liberoe bene,GIUDIZIO,SPECIFICAZIONE
795,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,mediocre,GIUDIZIO,GIUDIZIO
796,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,possibilita di accedere a cio che prevee l'ordinamento penitenziario nei termini prescritti dalle varie normative che non sono applicate,CONTRAPPOSIZIONE,CONTRAPPOSIZIONE
797,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"in questo istituto penitenziario non esiste alcuna forma di assistenza rieducativa da parte dell'equipe trattamentale, alcontrario, tendono ad avvallare ogni qualsiasi forma di comunicazione con gli stessi detenuti inviando relazioni scientifiche atta al diniego di qualsias beneficioi",CONTRAPPOSIZIONE,CONTRAPPOSIZIONE
798,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,i rapporti con la famiglia sono ottimi,NON RISPOSTA,NON RISPOSTA
799,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,bene,GIUDIZIO,GIUDIZIO
800,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,svolgendo un lavoro sociorinsementale con personale qualificato,GIUDIZIO,sancire
801,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,cosa che attualmente manca agli istituti di pena italiani,GIUDIZIO,VALUTAZIONE
802,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"educativo,",GIUDIZIO,GIUDIZIO
803,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,speranza in pi-per reinserimento sociale,PREVISIONE,SPECIFICAZIONE
804,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,si lavora raramemente,GIUDIZIO,COMMENTO
805,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,se funzionassero bene,COMMENTO,GIUDIZIO
806,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,malgestite e senza criterio,GIUDIZIO,GIUDIZIO
807,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,sto parlando di sollicciano in altri carceri le cose vanno molto meglio,SPECIFICAZIONE,SPECIFICAZIONE
808,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,utili ad un graduale reinserimento nella societa,VALUTAZIONE,RIFERIMENTO ALL'OBIETTIVO
809,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,assurde ad ottenerle e difficili da utilizzare,GIUDIZIO,GIUDIZIO
810,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,sono molto difficili,VALUTAZIONE,GIUDIZIO
811,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,se non si hanno possibilita al di fuori,SPECIFICAZIONE,SPECIFICAZIONE
812,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,capitache spesso vengono rigettati i possibili benefici richiesti logi camente in molti isttuti manca la condizione con l' esterno o lo stesso e valutata con difficoltà le lungaggioni buricratiche talvolta arrecano vari danni tangibili,GIUDIZIO,CONFERMA
813,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,riunioni col personale del biscione,sancire,GENERALIZZAZIONE
814,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,con pi- personale interno e non negando le istanze per la riabilitazione dai magistrati sempre con le stesse risposte,GIUDIZIO,COMMENTO
815,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,che sono buone,COMMENTO,GIUDIZIO
816,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,contattando una casa famiglia oppure comunita,GIUDIZIO,NON RISPOSTA
817,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,non del tutto buone,NON RISPOSTA,GIUDIZIO
818,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,in quanto essere sieropositivo capita la mancanza del personale infermieristico scarsa cura nella pulizia del piano altre amncanze che magari in altri carceri italiani non ci o si sta meglio,VALUTAZIONE,SPECIFICAZIONE
819,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,le opportunita di trattamento rieducativo in questo istituto sono molto,VALUTAZIONE,GIUDIZIO
820,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,mediocri,GIUDIZIO,GIUDIZIO
821,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"cioe il livello "" zero "" e superato appena a causa della "" funzione fisiologica vitale """,VALUTAZIONE,SPECIFICAZIONE
822,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,le opportunita ci ignorate purtroppo molti vengono esclusi a causa dei carenti es esigui operatori addetti a queste mansioni : educatori assistenti sociali esponenti dei vari ser. T eccetera eccetera eccetera eccetera,VALUTAZIONE,CAUSA
823,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,cosicch' le varie opportunita cui un deteneuto potrebbe accedere vengono interdette oppure l' attesa viene protratta fino allo sfinimento de richiedente,NON RISPOSTA,CONFERMA
824,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,i trattamenti funzionano ma non mi sono permessi i rapporti con la mia convivente,COMMENTO,CONTRAPPOSIZIONE
825,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,molto importanti come occasioni di reinserimento socale ma in realta lente in quanto parecchio burocratiche,COMMENTO,CONTRAPPOSIZIONE
826,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,scarsissimo perch' perch' il personale e poco,GENERALIZZAZIONE,CAUSA
827,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,e quel poco che c' enon fa il proprio lavoro per come dovrebbe,COMMENTO,SPECIFICAZIONE
828,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,nulla da dichiarare,DESCRIZIONE,NON RISPOSTA
829,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,buone nel complesso ma che sono accessibili solo a determinate tipologie di detenuti,DESCRIZIONE,CONTRAPPOSIZIONE
830,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,a mio parere alla base di un reale/concreto trattamento di qualunque natura esso sia dovrebbe esserci un pi- sosotanziale coinvolgimento di strutture interne/esterne il cui apporto renda veritiero il reinserimento per il detenuto,OPINIONE,OPINIONE
831,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,che ci siano pi- persone come educatori responsabili del ser. T dottori e infermieri,sancire,GIUDIZIO
832,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,siano date pi- opportunita al detenuto per il trattamento,SPECIFICAZIONE,GIUDIZIO
833,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,pessimo,GIUDIZIO,GIUDIZIO
834,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,pessimo,GIUDIZIO,GIUDIZIO
835,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,positivo bene accetto sempre meglio,sancire,GIUDIZIO
836,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,e molto difficoltoso perch' le leggi ci sono ma non,CONTRAPPOSIZIONE,CONTRAPPOSIZIONE
837,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,pessimo,GIUDIZIO,GIUDIZIO
838,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"molto difficoltoso poter usufruire,",VALUTAZIONE,GIUDIZIO
839,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,in quanto le leggi ci sono ma vengono attuate in modo molto ristretto,VALUTAZIONE,CONFERMA
840,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"purtroppo con carenza,",GIUDIZIO,GIUDIZIO
841,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,in quanto le uniche e poche possibilita all interno del carcere a mio parere sono l'istruzione scolastica e il lavoro che svolgiamo,OPINIONE,OPINIONE
842,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"le opportunita a cui non ce ne sono,",sancire,sancire
843,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,in quanto sono irrecuperabile,sancire,SPECIFICAZIONE
844,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"le opportunita che ti offre questo istituto posso dire siano inesistenti,",OPINIONE,OPINIONE
845,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,fatta eccezione di alcune,OPINIONE,SPECIFICAZIONE
846,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"servono alla mente, tenendola occupata, si riesce a guardare al futuro, a sognare. Dimenticando per un po' il motivo per il quale si e rinchiusi",RIFERIMENTO ALL'OBIETTIVO,DESCRIZIONE
847,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,e molto complesso descrivere qualcosa che non vivo,GIUSTIFICAZIONE,GENERALIZZAZIONE
848,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,buone,GIUDIZIO,GIUDIZIO
