,TESTO DELLA DOMANDA,TESTO,DIVISIONE STRALCI SENIOR,DENOMINAZIONE
321,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tr-altri-deten.,,DESCRIZIONE
322,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"le ho-conosciute, sentendomi solo e sofferente","le ho-conosciute, ",SANCIRE LA REALTÀ
323,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,sentendomi solo e sofferente,GIUDIZIO
324,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,studiando-molto e con un buon-comportamento,,GIUDIZIO
325,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,per-mezzo-degli assist-volontari,,DESCRIZIONE
326,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tr-altri-deten,,DESCRIZIONE
327,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,da due-anni-che-sono-in-carc e queste-cose le-so-da-una-vita,,CONFERMA
328,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,SANCIRE LA REALTÀ
329,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-conosciuto-info da-pers che parlano-di-questo e da altri-che-han-udito,,GENERALIZZAZIONE
330,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,GENERALIZZAZIONE
331,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"nel periodo-che-ho-pass nella-prig ho-saputo che ci-sono degli assist-sociali e sono-andato qualche-volta alla bibliot, spedis-semp-letter alla-mia-famig.","nel periodo-che-ho-pass nella-prig ho-saputo che ci-sono degli assist-sociali e sono-andato qualche-volta alla bibliot, spedis-semp-letter alla-mia-famig.",NON RISPOSTA
332,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,NON RISPOSTA
333,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,NON RISPOSTA
334,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dai-deten-preced e dalle info sull' esistenza del trattam-rieduc,,DESCRIZIONE
335,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,chied-ai-prepost,,DESCRIZIONE
336,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-av-info da-professori,,DESCRIZIONE
337,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dalle pers-deten-altri-paesi,,DESCRIZIONE
338,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,sono-deten-gia-4anni e so ormai come-funz-cose,,CONFERMA
339,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,SANCIRE LA REALTÀ
340,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dagli-altri-deten,,DESCRIZIONE
341,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tr-avvisi in bacheca,,DESCRIZIONE
342,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-sent dai-miei-deten,,DESCRIZIONE
343,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-lo-so,,SANCIRE LA REALTÀ
344,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,all-int dell istituto,,GENERALIZZAZIONE
345,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,all-int dell' ist-penit,,GENERALIZZAZIONE
346,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"attr-1-volont che fa dei-colloqui, attr-una-comp e il-person",,DESCRIZIONE
347,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,DESCRIZIONE
348,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,gli oper-del-carc,,DESCRIZIONE
349,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lav-all-int dell' ist-di-pena, volontaria attiv-culturali, maestra, il professore colloqui-con-educ suor-gabriella altri-comp-di-soff",,DESCRIZIONE
350,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dall-educ e dalle-altre-comp-soff.,"dall-educ e
dalle-altre-comp-soff.",DESCRIZIONE
351,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,DESCRIZIONE
352,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dai-corridoi,,GENERALIZZAZIONE
353,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tr-i-libri che ci-danno al-primo-ingresso,,DESCRIZIONE
354,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tr-deten,,DESCRIZIONE
355,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,io-sono-stato-giocato da una squadra qui,,NON RISPOSTA
356,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,con aiuto della-mia-famig,,GENERALIZZAZIONE
357,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-saputo dai-deten,,DESCRIZIONE
358,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,l' ho-saputo dall agente-dell-interno,,DESCRIZIONE
359,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-vent-anni ho-terza-media e sono una pers insomma,,NON RISPOSTA
360,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-av-queste-info con-mia-esp-di-vita,,GENERALIZZAZIONE
361,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,per aiutare-i-parenti,,NON RISPOSTA
362,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-capito alcune-cose e altre non-ho-capito,,GIUSTIFICAZIONE
363,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,perche mi-sento-meno a-livello interiore come pers-deten,,NON RISPOSTA
364,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,mi-sento-meno in-prig,,NON RISPOSTA
365,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-so,,SANCIRE LA REALTÀ
366,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dalla-tv,,GENERALIZZAZIONE
367,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,perche la-prig senza l' opport del trattam-rieduc non-fa-nie-al-deten in tut-temp-pass-all-int della prigione,,SANCIRE LA REALTÀ
368,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tutto-ci? che ho segnalato con la crocetta e-esistente all-int-della prigione il-resto e-assente,,SANCIRE LA REALTÀ
369,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-so,,SANCIRE LA REALTÀ
370,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,perche non-sono-presenti,,NON RISPOSTA
371,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,perche e una-cosa-principale,,NON RISPOSTA
372,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-av l' accesso all' opport del trattam-rieduc e-giusta e-ottima ,ho-av l' accesso all' opport del trattam-rieduc,DESCRIZIONE
373,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,e-giusta e-ottima ,GIUDIZIO
374,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-conosciuto l' opport rieduc, e-giusta e-ottima ","ho-conosciuto l' opport rieduc,",SANCIRE LA REALTÀ
375,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,e-giusta e-ottima ,GIUDIZIO
376,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,alcune-cose le-conosco alcune non-le-conosco perche la prigione mi-fa-preoccupare,alcune-cose le-conosco alcune non-le-conosco perche la prigione mi-fa-preoccupare,GIUSTIFICAZIONE
377,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,GIUSTIFICAZIONE
378,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,la-mia-professione e lo sport,,NON RISPOSTA
379,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ne-ho-sent-parlare,,GENERALIZZAZIONE
380,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ne-sono-a-conosc tr-person-d-carc,,DESCRIZIONE
381,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ne-sono-a-conosc tr-i-miei-comp qui in-carc,,DESCRIZIONE
382,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,grazie-agli assistenti mi-hanno-dato la-possib di lavorare,,OPINIONE
383,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ne-sono-a-conosc dagli assistenti,,DESCRIZIONE
384,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dal-person-del-carc,,DESCRIZIONE
385,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tr-il-person-del-carc,,DESCRIZIONE
386,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"perche li-ho visti-in-ist solo-che qui-in-italia questi-trattam non-funzionano
come-straniero, nn-ries-lav-fuo-ist perche pensano che scapperai per? non-e-cosi come-loro-pensan perche tanti-di-noi hanno le famig qua e non-pens-scappare,solo a facilit-la-detenz per-se e per-propria-famig","perche li-ho visti-in-ist
solo-che qui-in-italia questi-trattam non-funzionano",SANCIRE LA REALTÀ
387,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,SANCIRE LA REALTÀ
388,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,"come-straniero, nn-ries-lav-fuo-ist
perche pensano che scapperai per? 
non-e-cosi come-loro-pensan perche tanti-di-noi 
hanno le famig qua e non-pens-scappare,solo a facilit-la-detenz per-se e per-propria-famig",CONTRAPPOSIZIONE
389,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,CONTRAPPOSIZIONE
390,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,CONTRAPPOSIZIONE
391,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,CONTRAPPOSIZIONE
392,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,CONTRAPPOSIZIONE
393,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non lo so,,SANCIRE LA REALTÀ
394,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dentro-il-recinto del-penit,,GENERALIZZAZIONE
395,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dagli-altri-deten.,,DESCRIZIONE
396,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tr discussioni con altri-deten.,,DESCRIZIONE
397,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,da-altri-deten,,DESCRIZIONE
398,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-so,,SANCIRE LA REALTÀ
399,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-sent-parlare,,GENERALIZZAZIONE
400,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dagli-amici.,,GENERALIZZAZIONE
401,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"da-altre-deten, e dai-manifesti-inform appesi.",,DESCRIZIONE
402,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"l' ho-visto, e me-lo-hanno-detto gli-altri.",,DESCRIZIONE
403,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,in-carc,,GENERALIZZAZIONE
404,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tr-gli-altri-deten,,DESCRIZIONE
405,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"tr l' area-educativa (educ, assist-sociale)",,DESCRIZIONE
406,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tr-altri-deten,,DESCRIZIONE
407,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,avendo-cont con le pers-se-ne-intend di-queste-cose.,,DESCRIZIONE
408,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"per-quanto-riguarda la corrisp-con-famig e l' unica-possib che ho-av fin-adesso, mi-piacerebbe aver-accesso anche-alle-altre","per-quanto-riguarda la corrisp-con-famig e l' unica-possib che ho-av fin-adesso, mi-piacerebbe aver-accesso anche-alle-altre",NON RISPOSTA
409,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,NON RISPOSTA
410,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,da altre-che-si-trovano in-questo-istituto,,DESCRIZIONE
411,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ne-ho-sent-parlare gli altri-deten,,DESCRIZIONE
412,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-sono-inf ma sono-a-conosc della possib-di-lav perche ho-lavorato per quattro mesi, in 5anni-e-mezzo di-carc","non-sono-inf
ma sono-a-conosc della possib-di-lav perche ho-lavorato per 
quattro mesi, in 5anni-e-mezzo di-carc",CONTRAPPOSIZIONE
413,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,CONTRAPPOSIZIONE
414,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,CONTRAPPOSIZIONE
415,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,CONTRAPPOSIZIONE
416,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tr-i-comp-di-cella,,DESCRIZIONE
417,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,sono-stato comp-deten che si-trovano piu-prima-di-me in-questo-istituto,,DESCRIZIONE
418,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,DESCRIZIONE
419,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"per-manc-ass-soc
ci-informiamo tr-amici dentro-istituto come-possiamo","per-manc-ass-soc
ci-informiamo tr-amici dentro-istituto come-possiamo",CAUSA
420,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,CAUSA
421,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ad-ogni-carcerato viene-consegnato un opuscolo,,DESCRIZIONE
422,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,l-ho-sent dai-deten,,DESCRIZIONE
423,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,osservazione secondo-me,,OPINIONE
424,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,xche-ho-fatto 7anni-di-carc,,SANCIRE LA REALTÀ
425,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,per l' esp-carceraria,,GENERALIZZAZIONE
426,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-studiato-per-anni e basta 
",,SANCIRE LA REALTÀ
427,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,partecipando a diversi-corsi ed il colloquio con le pers-che-si-occu di sostegno-alle-pers deten ,,DESCRIZIONE
428,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,DESCRIZIONE
429,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lo-sapevo perche anche-nel-carc-di-brescia ci-sono queste-cose 
",,DESCRIZIONE
430,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"me-lo-hanno-detto gli assistente, gli educ, gli agenti 
",,DESCRIZIONE
431,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"parlando con alt-deten-piu-esp 
",,DESCRIZIONE
432,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ascoltando radio-radicale e so che esistono negli-altri-paesi come germania e alt-pae-europei ,,DESCRIZIONE
433,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,SPECIFICAZIONE
434,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dagli-altri-deten,,DESCRIZIONE
435,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"dalle deten-con-div-cella e dal-person-carc. 
",,DESCRIZIONE
436,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ne-sono-a-conosc tr-gli-altri-deten 
",,DESCRIZIONE
437,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ne-sono-a-conosc tr-gli-altri-deten 
",,DESCRIZIONE
438,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-saputo di-trattam-rieduc tr-alcune-comp che lo-stanno-sperim o che lo-hanno-gia-sperim,ho-saputo di-trattam-rieduc tr-alcune-comp che lo-stanno-sperim o che lo-hanno-gia-sperim,DESCRIZIONE
439,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,DESCRIZIONE
440,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,certe le-ho-viste e le-altre le-ho-sentite da-altre-che-veng da-altri-carc ,,DESCRIZIONE
441,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,DESCRIZIONE
442,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,con colloqui-da-pers e altri tr-i-deten ,,DESCRIZIONE
443,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,DESCRIZIONE
444,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"perche gli altri-deten mi-hanno-fat-conosqueste-opport 
",,DESCRIZIONE
445,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"leggendo la stampa 
",,DESCRIZIONE
446,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"dai-deten 
",,DESCRIZIONE
447,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,avevo-tempo per-sapere-tutto a-qndo-sono-dentro ,,SANCIRE LA REALTÀ
448,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,SANCIRE LA REALTÀ
449,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"dopo 2anni-e-mezzo che sono-qua, e-normale-che-conos i trattam ",,DESCRIZIONE
450,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,GENERALIZZAZIONE
451,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"in-carc 
",,GENERALIZZAZIONE
452,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-av-questa-info tr-i-miei-comp 
",,DESCRIZIONE
453,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-sono-inf sulle opport-di-trattam,,SANCIRE LA REALTÀ
454,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-ne-ho-ness-idea 
",,SANCIRE LA REALTÀ
455,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"dagli-altri-deten. 
",,DESCRIZIONE
456,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dagli annunci che sono-stati appesi e dagli-altri-deten. ,,DESCRIZIONE
457,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,DESCRIZIONE
458,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"le-ho-avuta dalle-pers all-int dell-istituto si-occupano di trattam-rieduc.
 ",,DESCRIZIONE
459,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,DESCRIZIONE
460,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"da-comp-istit 
",,DESCRIZIONE
461,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"fino-adesso non-ho-aiuto, ne-lavoro, ne-corso, ne-familiare
",,SANCIRE LA REALTÀ
462,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr il passa-parola dei comp (a-voce) il modo ,"attr il passa-parola dei comp
(a-voce) il modo ",DESCRIZIONE
463,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,DESCRIZIONE
464,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tr-i-deten o avvisi tr-il-carc ,,DESCRIZIONE
465,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,DESCRIZIONE
466,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tr-avvisi scritti e tr deten gia-scontato un-po-di-tempo all-int,tr-avvisi scritti e tr deten gia-scontato un-po-di-tempo all-int,DESCRIZIONE
467,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,DESCRIZIONE
468,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,DESCRIZIONE
469,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tr-deten.,,DESCRIZIONE
470,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"nelle richieste-interne alla-prig. 
",,DESCRIZIONE
471,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"dalle-pers si-interessano di aiutare le pers-carcerate.
",,DESCRIZIONE
472,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"alcuni-trattam mi-hanno-fatto loro, e il resto saputo dai-miei-di-cella","alcuni-trattam mi-hanno-fatto loro, e il resto saputo dai-miei-di-cella",DESCRIZIONE
473,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,DESCRIZIONE
474,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"fra-i-deten e la-guardia 
",,DESCRIZIONE
475,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"per-l-esp 
",,SANCIRE LA REALTÀ
476,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"tr dei deten-tanto-carc-far
",,DESCRIZIONE
477,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,l-abbiamo-saputo dentro-il-carc perche spesso ci attaccano gli avvisi ,,DESCRIZIONE
478,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,SPECIFICAZIONE
479,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"tr gli avvisi messi per-scritto 
",,DESCRIZIONE
480,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"per-nn-comm-alt-sbag nella sua vita 
",,NON RISPOSTA
481,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-av-l-info dalle pers-present-in-prig 
",,DESCRIZIONE
482,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"una-cosa-ottima 
",,NON RISPOSTA
483,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,sentiamo la radio e la tv e sentiamo anche da-altri ,"sentiamo la radio e la tv
e sentiamo anche da-altri ",DESCRIZIONE
484,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,DESCRIZIONE
485,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-av-l-info dal parlare-con-deten xche-ci-sono-tanti che hanno-usuf di questo trattam-rieduc 
 ",,DESCRIZIONE
486,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,SPECIFICAZIONE
