,TESTO DELLA DOMANDA,TESTO,DIVISIONE STRALCIO JUNIOR,DENOMINAZIONE
1571,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","comandante 
ispettore 
le guardie 
infermieri","comandante 
ispettore 
le guardie 
infermieri",SANCIRE LA REALTÀ
1572,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","palestra 
campo_sportivo
socialità","palestra 
campo_sportivo",DESCRIZIONE
1573,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,socialità,GIUDIZIO
1574,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","quando funziona tutto
tutte_le_attività sportive e culturali",quando funziona tutto,GENERALIZZAZIONE
1575,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,tutte_le_attività sportive e culturali,DESCRIZIONE
1576,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",colloqui meno rigidi. telefonate alla famiglia,colloqui meno rigidi.,GIUDIZIO
1577,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,telefonate alla famiglia,DESCRIZIONE
1578,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","mi_piacerebbe che le celle_non fossero per dieci persone ma solo 
per tre o quattro e che ci fossero più_oppo_di_lavoro","mi_piacerebbe che le celle_non fossero per dieci persone ma solo 
per tre o quattro e che ci fossero più_oppo_di_lavoro",COMMENTO
1579,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","aiutarci di_più
darci l' opportunità come straniere di_avere lavoro.
farci fare dei_corsi che ci servano quando andremo fuori",aiutarci di_più,VALUTAZIONE
1580,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,darci l' opportunità come straniere di_avere lavoro.,DESCRIZIONE
1581,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,farci fare dei_corsi che ci servano quando andremo fuori,VALUTAZIONE
1582,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","più_possibilità dei affetti familiari, benefici_di_legge","più_possibilità dei affetti familiari, benefici_di_legge",GIUDIZIO
1583,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","le visite improvvisamente dei direttori
telefonate di_più, dieci minuti con tre 3 figli sono_pochi.
colloqui con i tuoi familiari che vengono da_lontano, tre ore di più dopo tre anni sono_pochi",le visite improvvisamente dei direttori,VALUTAZIONE
1584,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,"telefonate di_più, dieci minuti con tre 3 figli sono_pochi.",GIUDIZIO
1585,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,"colloqui con i tuoi familiari che vengono da_lontano, tre ore di più dopo tre anni sono_pochi",GIUDIZIO
1586,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",tutto è da prendere in_considerazione.,tutto è da prendere in_considerazione.,GENERALIZZAZIONE
1587,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","celle singole 
lavoro_interno 
corsi
collo_terza_persona","celle singole 
lavoro_interno 
corsi",DESCRIZIONE
1588,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,collo_terza_persona,SANCIRE LA REALTÀ
1589,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","scuola 
sport 
lavoro","scuola 
sport 
lavoro",DESCRIZIONE
1590,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","i lavori 
lo sport 
il cinema 
fare sesso con la sua moglie o con la sua convivente","i lavori 
lo sport 
il cinema 
fare sesso con la sua moglie o con la sua convivente",DESCRIZIONE
1591,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",non basare tutti i ragionamenti sui pregiudizi,non basare tutti i ragionamenti sui pregiudizi,GENERALIZZAZIONE
1592,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","non lasciano dormire battono fuori_dalle celle 
mi_fanno_male le guardie del_carcere
mi rubano ogni_momento","non lasciano dormire battono fuori_dalle celle 
mi_fanno_male le guardie del_carcere",COMMENTO
1593,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,mi rubano ogni_momento,COMMENTO
1594,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","campo palestra
comportamento dell' agente di polizia 
mangiare buono",campo palestra,DESCRIZIONE
1595,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,"comportamento dell' agente di polizia 
mangiare buono",GIUDIZIO
1596,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",non_lo_so,non_lo_so,NON RISPOSTA
1597,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","non_lo_so però sport e scuola
lavoro 
sport",non_lo_so però sport e scuola,CONTRAPPOSIZIONE
1598,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,"lavoro 
sport",DESCRIZIONE
1599,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",sport e scuola lavoro,sport e scuola lavoro,DESCRIZIONE
1600,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","la scuola 
il teatro 
collo_con_la_famigli 
lo sport","la scuola 
il teatro 
collo_con_la_famigli 
lo sport",DESCRIZIONE
1601,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","che le celle_sono aperte durante il_giorno o fanno lavare per_tutti 
i detenuti, scuola","che le celle_sono aperte durante il_giorno o fanno lavare per_tutti 
i detenuti, scuola",DESCRIZIONE
1602,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","il trattamento è_ottimo da_parte_dei detenuti, le guardie razzisti","il trattamento è_ottimo da_parte_dei detenuti,",GIUDIZIO
1603,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,le guardie razzisti,COMMENTO
1604,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",sono aspetti da prendere in_considerazione,sono aspetti da prendere in_considerazione,COMMENTO
1605,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","campo (la palestra per lo sport)
il compor_delle_guardie 
in_modo buono verso_noi 
ottimo cibo",campo (la palestra per lo sport),DESCRIZIONE
1606,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,"il compor_delle_guardie 
in_modo buono verso_noi 
ottimo cibo",GIUDIZIO
1607,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",non_lo_so,non_lo_so,NON RISPOSTA
1608,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",attività_culturale e lo sport,attività_culturale e lo sport,DESCRIZIONE
1609,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",non_so,non_so,NON RISPOSTA
1610,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",non_so niente per_questa_domanda,non_so niente per_questa_domanda,NON RISPOSTA
1611,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","il campo, la palestra, il compor_delle_guardie","il campo, la palestra,",DESCRIZIONE
1612,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,il compor_delle_guardie,GIUDIZIO
1613,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",il medico,il medico,SANCIRE LA REALTÀ
1614,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","primo il medico psichiatra, la salute in_generale, la parte 
materiale spirituale, il lavoro","primo il medico psichiatra, la salute in_generale, la parte 
materiale spirituale,",GIUDIZIO
1615,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,il lavoro,DESCRIZIONE
1616,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","i piatti, i cucchiai, le forchette, le lenzuola","i piatti, i cucchiai, le forchette, le lenzuola",SANCIRE LA REALTÀ
1617,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",vedo delle cose in_questa,vedo delle cose in_questa,NON RISPOSTA
1618,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","il medico, il campo","il medico, il campo",SANCIRE LA REALTÀ
1619,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",il lavoro,il lavoro,DESCRIZIONE
1620,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",vorrei avere_la_possibilità di studiare oppure lavorare,vorrei avere_la_possibilità di studiare oppure lavorare,COMMENTO
1621,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",che ci trattino come tutte le altre persone,che ci trattino come tutte le altre persone,GENERALIZZAZIONE
1622,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","quando si_parla di_qualità in_prigione bisogna prima_di tutto che ci sia rispetto nei_nostri_confronti
e poi bisogna che organizzino delle attività_sportive e possi_di_lavoro","quando si_parla di_qualità in_prigione bisogna prima_di tutto che 
ci sia rispetto nei_nostri_confronti",GIUDIZIO
1623,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,e poi bisogna che organizzino delle attività_sportive e possi_di_lavoro,DESCRIZIONE
1624,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","dobbiamo essere trattati come tutti gli altri detenuti anche_se 
siamo albanesi","dobbiamo essere trattati come tutti gli altri detenuti anche_se 
siamo albanesi",GENERALIZZAZIONE
1625,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","il lavoro 
il volontariato
il rispetto_per_i_deten","il lavoro 
il volontariato",DESCRIZIONE
1626,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,il rispetto_per_i_deten,SANCIRE LA REALTÀ
1627,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","il lavoro 
il volontariato
l' agente rispettoso","il lavoro 
il volontariato",DESCRIZIONE
1628,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,l' agente rispettoso,GIUDIZIO
1629,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","tanti elementi mancanti: lavoro, all_aperto tutto il_giorno eccetera","tanti elementi mancanti: lavoro, all_aperto tutto il_giorno eccetera",GENERALIZZAZIONE
1630,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",potrebbero fare qualcosa per ridurci la pena.,potrebbero fare qualcosa per ridurci la pena.,COMMENTO
1631,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",il lato sanitario e educativo,il lato sanitario e educativo,GENERALIZZAZIONE
1632,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",la risposte alle nostre domande arrivano molto tardi,la risposte alle nostre domande arrivano molto tardi,COMMENTO
1633,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",non_mi_interessa,non_mi_interessa,NON RISPOSTA
1634,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",neanche uno,neanche uno,NON RISPOSTA
1635,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",neanche uno.,neanche uno.,NON RISPOSTA
1636,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",il lavoro_dentro_e_fuori il carcere.,il lavoro_dentro_e_fuori il carcere.,DESCRIZIONE
1637,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","primo e molto_importante, la salute e le cure, poi il cibo e il 
trattamento, poi il dovere dell' agente penitenziario di eseguire 
controlli.","primo e molto_importante, la salute e le cure, poi il cibo e il 
trattamento, poi il dovere dell' agente penitenziario di eseguire 
controlli.",GIUDIZIO
1638,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","sala_ginnica
cibo_migliore.",sala_ginnica,DESCRIZIONE
1639,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,cibo_migliore.,GIUDIZIO
1640,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","scuola, lavoro","scuola, lavoro",DESCRIZIONE
1641,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","scuola 
teatro 
attività_sportiva","scuola 
teatro 
attività_sportiva",DESCRIZIONE
1642,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","scuola (corsi_professionali) 
area_educativa","scuola (corsi_professionali) 
area_educativa",DESCRIZIONE
1643,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","scuola 
medicina e sanità 
lavoro per gli stranieri
rispetto come detenuto","scuola 
medicina e sanità 
lavoro per gli stranieri",DESCRIZIONE
1644,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,rispetto come detenuto,SANCIRE LA REALTÀ
1645,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","bisogna_che_ci meno razzismo 
bisogna_che_ci più umanità e poca vendetta","bisogna_che_ci meno razzismo 
bisogna_che_ci più umanità e poca vendetta",PRESCRIZIONE
1646,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","bisogna_mettere in_moto la macchina: 
della liberta 
dell' inserimento 
dei_permessi 
affidamento_sociale 
della semiliberta","bisogna_mettere in_moto la macchina: 
della liberta 
dell' inserimento 
dei_permessi 
affidamento_sociale 
della semiliberta",PRESCRIZIONE
1647,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","la scuola 
il lavoro 
la biblioteca 
la possi_di_telefonare","la scuola 
il lavoro 
la biblioteca 
la possi_di_telefonare",SANCIRE LA REALTÀ
1648,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",in_questo_caso direi servizio sanitario/medico,in_questo_caso direi servizio sanitario/medico,DESCRIZIONE
1649,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","la sorveglianza e i benefici 
il modo di_trattare i detenuti
le attività_sportive 
il centro_medico 
il cibo","la sorveglianza e i benefici 
il modo di_trattare i detenuti",SANCIRE LA REALTÀ
1650,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,"le attività_sportive 
il centro_medico 
il cibo",DESCRIZIONE
1651,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","la vici_tra_educa_e_det 
la liberta interna,
tipo la palestra","la vici_tra_educa_e_det 
la liberta interna,",SANCIRE LA REALTÀ
1652,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,tipo la palestra,DESCRIZIONE
1653,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","attività_lavorativa 
attività_sportiva 
attività scolastica e culturale","attività_lavorativa 
attività_sportiva 
attività scolastica e culturale",DESCRIZIONE
1654,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","la sorveglianza dei benefici collo_con_educatore, con assistente_sociale coma_per_probl_sanit
persone che sono condannate con pena esagerata di_fronte_a quello che hanno fatto","la sorveglianza dei benefici collo_con_educatore, con assistente_sociale 
coma_per_probl_sanit",SANCIRE LA REALTÀ
1655,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,persone che sono condannate con pena esagerata di_fronte_a quello che hanno fatto,COMMENTO
1656,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",rieducazione,rieducazione,SANCIRE LA REALTÀ
1657,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","vici_tra_educa_e_det
facilità di contatto con il giudi_di_sorveglianz
possibilità di accedere ai benefici
libertà interna",vici_tra_educa_e_det,SANCIRE LA REALTÀ
1658,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,facilità di contatto con il giudi_di_sorveglianz,GIUDIZIO
1659,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,possibilità di accedere ai benefici,GIUDIZIO
1660,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,libertà interna,GIUDIZIO
1661,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",bisogna vedere se ci danno lavoro,bisogna vedere se ci danno lavoro,COMMENTO
1662,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","gli operatori_devono essere umani con i detenuti 
dare la possibilità di sfogare 
parlare esprimere, aprirsi","gli operatori_devono essere umani con i detenuti 
dare la possibilità di sfogare 
parlare esprimere, aprirsi",GIUDIZIO
1663,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","il direttore 
sorveglianza 
di essere preciso di nostro diritto","il direttore 
sorveglianza 
di essere preciso di nostro diritto",SANCIRE LA REALTÀ
1664,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","le celle 
i colloqui 
la cucina 
la sanità","le celle 
i colloqui 
la cucina 
la sanità",SANCIRE LA REALTÀ
1665,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",trattamento_rieducat,trattamento_rieducat,SANCIRE LA REALTÀ
1666,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","la saletta 
l' aria 
i giochi 
medico 
infermiere 
appuntato 
lavorante","la saletta 
l' aria 
i giochi 
medico 
infermiere 
appuntato 
lavorante",SANCIRE LA REALTÀ
1667,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","i corsi_professionali 
lavoro che sia all_esterno o all_interno 
i colloqui con persone che ti aiutano per l' inserimento sociale 
----425","i corsi_professionali 
lavoro che sia all_esterno o all_interno 
i colloqui con persone che ti aiutano per l' inserimento sociale 
----425",DESCRIZIONE
1668,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","la sorveglianza 
guardia 
dottore 
dottore dicono bravo più sostanza col sale però non_mi chiama mai
comandante","la sorveglianza 
guardia 
dottore 
comandante",SANCIRE LA REALTÀ
1669,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,dottore dicono bravo più sostanza col sale però non_mi chiama mai,COMMENTO
1670,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","operatori_devono frequentare i detenuti 
dare la possibilità di sfogarsi 
parlare coi propri amici","operatori_devono frequentare i detenuti 
dare la possibilità di sfogarsi 
parlare coi propri amici",PRESCRIZIONE
1671,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","lavoro 
se vanno avanti i permessi 
sanità","lavoro 
se vanno avanti i permessi 
sanità",SANCIRE LA REALTÀ
1672,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",acces_alle_opportuni di_rieducazione,acces_alle_opportuni di_rieducazione,SANCIRE LA REALTÀ
1673,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",acces_alle_opportuni trattame_rieducativo,acces_alle_opportuni trattame_rieducativo,SANCIRE LA REALTÀ
1674,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","il direttore 
la sorveglianza","il direttore 
la sorveglianza",SANCIRE LA REALTÀ
1675,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",l' assistenza sanitaria e la pulizia delle_celle.,l' assistenza sanitaria e la pulizia delle_celle.,SANCIRE LA REALTÀ
1676,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",la sorveglianza è buona,la sorveglianza è buona,COMMENTO
1677,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","una_buona sorveglianza sia dentro che fuori_il_carcere 
la presenza di un educatore disponibile 
la presenza di un assistente_sociale disponibile","una_buona sorveglianza sia dentro che fuori_il_carcere 
la presenza di un educatore disponibile 
la presenza di un assistente_sociale disponibile",GIUDIZIO
1678,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","per_prima_cosa come passare_il_tempo, che ci sia lavoro, il sistema sanitario, controllare che tutto funzioni bene","per_prima_cosa come passare_il_tempo, che ci sia lavoro, il 
sistema sanitario,",GIUDIZIO
1679,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,controllare che tutto funzioni bene,GIUDIZIO
1680,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",lavoro e che ci_siano i farmaci,lavoro,SANCIRE LA REALTÀ
1681,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,e che ci_siano i farmaci,CAUSA
1682,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","operatori frequentino di_più i detenuti
dare la possibilità di sfogare (parlare)",operatori frequentino di_più i detenuti,GIUDIZIO
1683,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,dare la possibilità di sfogare (parlare),GENERALIZZAZIONE
1684,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","le celle 
la cucina 
passeggio 
le docce 
area_sanitaria","le celle 
la cucina 
passeggio 
le docce 
area_sanitaria",SANCIRE LA REALTÀ
1685,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","rapp_con_i_detenuti, lavoro, cibo, strutture, igiene","rapp_con_i_detenuti, lavoro, cibo, strutture, igiene",SANCIRE LA REALTÀ
1686,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",educazione e scolarizzazione delle_persone,educazione e scolarizzazione delle_persone,SANCIRE LA REALTÀ
1687,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",possi_di_lavoro e di cure,possi_di_lavoro e di cure,DESCRIZIONE
1688,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",efficienza della_direzione e degli_educatori,efficienza della_direzione e degli_educatori,GIUDIZIO
1689,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",il lavoro,il lavoro,SANCIRE LA REALTÀ
1690,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?","l' educazione professionale degli_agenti 
spazio vitale per_ogni persona
vitto 
attività_sportive 
medico","l' educazione professionale degli_agenti 
spazio vitale per_ogni persona",SANCIRE LA REALTÀ
1691,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione?",,"vitto 
attività_sportive 
medico",DESCRIZIONE
