,Unnamed: 0,TESTO DELLA DOMANDA,REPERTORIO DELLA DOMANDA,STRALCIO,DENOMINAZIONE SENIOR
5650,5650,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,DESCRIZIONE,malissimo,GIUDIZIO
266,266,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,me-ne-hanno-parl i miei-amici,DESCRIZIONE
6730,6730,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,"strutture più luminose e decorose,",GIUDIZIO
3895,3895,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,"non-c-E-ness-differ tra arabo e occidentale solo la fede 
",COMMENTO
995,995,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,sert,sancire
2432,2432,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,una persona come le altre,GENERALIZZAZIONE
3979,3979,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,delinquente o forse bravo-ragazzo,GIUDIZIO
4923,4923,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,non riesco a dare una risposta perché pochi giorni non bastano per dare un giudizio sull' integrazione,GIUSTIFICAZIONE
943,943,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,modalit… di svolgimento dei colloqui con i familiari,sancire
5194,5194,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,il_fatto_che hai passeggi non si formano gruppetti discriminanti ed emarginanti e che gli stranieri non_sono vittime inconsapevoli di un bigottismo che di_fatto li favorisce nelle_poche opportunità_lavorative interne,VALUTAZIONE
734,734,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,abbastanza bene,GIUDIZIO
3285,3285,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,non so scusate per la domanda perché sono detenuto come un uccello in gabbia,COMMENTO
3421,3421,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,difficoltà inserire in società,sancire
6068,6068,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,"oltre_alla prassi di_rito ( dati_pers , immatricolazione , eccetera ) viene chiesto se ha particolari problemi con qualche tipologia di detenuti oppure qualcuno in_particolare , tipo religione , facente o no uso di stupefacenti , possibilità di essere messo con altro detenuto della_stessa_naz",DESCRIZIONE
3037,3037,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,una persona dal sorriso facile piena di energia prodiga ad aiutare il prossimo,GIUDIZIO
4735,4735,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,dipende dalla persona,DESCRIZIONE
4591,4591,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"non conosco la lingua italiana e nessuno si
preoccupa per_me
",DERESPONSABILIZZAZIONE
6069,6069,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,"non avendo mai lavorato in una sezione , non_lo_so e non mi sento di_rispondere basandomi su racconti di colleghi",GIUSTIFICAZIONE
6628,6628,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,mandarli a_casa,COMMENTO
292,292,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ed altre-pers-sudameric,DESCRIZIONE
6314,6314,Come ti descriverai una volta uscito dal carcere?,DESCRIZIONE,cambiato_molto cambiato nel verso giusto mai gli stessi sbagli,GIUDIZIO
531,531,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ho-sent-parlarne,GENERALIZZAZIONE
4506,4506,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,perch‚_ci_aiutano ad andare_avanti,DESCRIZIONE
5459,5459,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",DESCRIZIONE,"il mio_ruolo_non puo mai emergere a_causa_dei ruoli superiori che ci 
soffocano con i loro modi antiquati di operare. 
",COMMENTO
2232,2232,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,non consumo,NON RISPOSTA
2257,2257,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,non_consumo,NON RISPOSTA
1582,1582,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,l' agente rispettoso,CONTRAPPOSIZIONE
2246,2246,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,non_ne_faccio_uso.,Non risposta
918,918,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,numero_di_operatori,DESCRIZIONE
228,228,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,abbo-semp-av-dialog con il resp-dell-istit,sancire
859,859,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,come realta vere ci sono delle detenute con cui si puo andare d accordo (la maggior parte negativa ) la stessa cosa vale per gli agenti,GENERALIZZAZIONE
2700,2700,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,in possesso delle facoltà mentali e di buone condizioni fisiche in grado di assumere decisioni in piena autonomia,GIUDIZIO
6021,6021,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,affidamento,DESCRIZIONE
569,569,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"da alt-lav-x-far-sold, e per-passare-il-tempo penso sia cosi,",OPINIONE
3320,3320,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,non deve fare queste cose,PRESCRIZIONE
2535,2535,Come descriverebbe una persona che è stata condannata per lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"----099 
lo descrivo che Š stupido",GIUDIZIO
1981,1981,Come descriverebbe una persona che è stata condannata per lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"----044 
sempre delinquente e niente altro",sancire
614,614,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,niente merita d'essere detto e l'importanza,RIDIMENSIONAMENTO
1035,1035,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,posti_di_lavoro disponibili per_i_detenuti,DESCRIZIONE
5856,5856,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,le si offrono minime possibilità di svolgere piccoli lavori . quindi vengono più monitorati per eventuali benefici .,RIDIMENSIONAMENTO
2952,2952,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,come salute morale: una persona rilassata,GIUDIZIO
2509,2509,Come descriverebbe una persona che è stata condannata per lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"----076 
Š una ingiustizia perch‚_io ho fatto niente e quindi neanche lui 
ha_fatto",IMPLICAZIONI
4986,4986,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,comunicazione,DESCRIZIONE
4622,4622,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"perchè‚ anche_se sei detenuto le guardie e
gli altri_detenuti ti considerano un essere
umano
",DESCRIZIONE
185,185,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,tr-le-esp dell-istituto,GENERALIZZAZIONE
6264,6264,Come ti descriverai una volta uscito dal carcere?,DESCRIZIONE,quando_uscirò recupererò la mia_libertà,DICHIARAZIONE DI INTENTI
3785,3785,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"sta facendo il suo lavoro,",sancire
663,663,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,non sono alcolizzat,GIUDIZIO
727,727,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,e cosi sono rimasto al lavoro tuttora di cui mi trovo benissimo anche con gli appuntati di cui agente penitenziario,GIUDIZIO
586,586,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"di tutte queste-opport sono-venuto-con qui in-carc 
",GENERALIZZAZIONE
6373,6373,Come ti descriverai una volta uscito dal carcere?,DESCRIZIONE,sarò la pers_più_felice perché avrò di_nuovo con me le persone a cui voglio bene,CAUSA
7111,7111,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,ero persona per_bene,GIUDIZIO
28,28,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dalle-lettere e dagli-altri-deten,DESCRIZIONE
6709,6709,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,no,NON RISPOSTA
1542,1542,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,collo_terza_persona,DESCRIZIONE
5989,5989,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,non seguo questi,GIUSTIFICAZIONE
7361,7361,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"prima_di_entrare in_prigione vivevo_una_vita migliore con la mia_amica lavoravamo e tornavamo a casa , scherzavo con la mia_amica fatima non abbiamo sentito "" l' amore "" , vivevo_una_vita straordinaria con_mia_famiglia",VALUTAZIONE
194,194,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,facendo-la-domanda,DESCRIZIONE
600,600,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,lo descrivo molto male,CAUSA
809,809,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,assurde ad ottenerle e difficili da utilizzare,GIUDIZIO
5631,5631,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,DESCRIZIONE,non lo so,NON RISPOSTA
1482,1482,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"doccia 
il vitto 
posta",GIUDIZIO
6588,6588,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,la possibilità di poter frequentare maggiormente dei corsi scolastici,PROPOSTA
1824,1824,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"la vita in_carcere e molto difficile perché le celle_sono 
sovraffollate e non_ci delle_attività",GIUDIZIO
5726,5726,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,DESCRIZIONE,"anche dalle 
guardie nei_confronti_dei detenuti",CONFERMA
2474,2474,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,non_va_bene perché chi ne fa uso e una_Persona,VALUTAZIONE
4010,4010,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,non-lo-so,NON RISPOSTA
5621,5621,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,DESCRIZIONE,Š_una_cosa utile secondo_me,OPINIONE
1012,1012,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,presenza di operatori professionali,GIUDIZIO
1599,1599,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"bisogna_che_ci meno razzismo 
bisogna_che_ci più umanità e poca vendetta",sancire
6666,6666,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,introdurli alla nostra cultura,GENERALIZZAZIONE
6929,6929,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,l' educazione da_parte_dei musulmani,DESCRIZIONE
5923,5923,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,viene_segnalata,sancire
6838,6838,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,"ci_vogliono_persone_competenti che si applicano alla materia, senza_farsi_strumentalizzare",GENERALIZZAZIONE
6309,6309,Come ti descriverai una volta uscito dal carcere?,DESCRIZIONE,è una_domanda un_po' difficile dipende,NON RISPOSTA
7469,7469,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,io stavo_bene perché avevo la libertà e stavo con_mia_famiglia,CAUSA
2444,2444,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,quando le uso comincio a sentirmi felice,DESCRIZIONE
5532,5532,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",DESCRIZIONE,"corsi_di_aggiornamento 
incontri con figure professionali differenti 
partecipazione a convegni specifici 
",DESCRIZIONE
619,619,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,pure l'alcool,sancire
7313,7313,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"un semplice lavorante allegro , sano ma nel suo modo di vivere",GIUDIZIO
6558,6558,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,non vedo nulla di facilitazione,COMMENTO
5463,5463,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",DESCRIZIONE,"per_mancanza_di fondi del ministero, e mancanza di personale ormai 
cronico 
",DESCRIZIONE
3144,3144,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,siamo tutti diversi,NON RISPOSTA
4763,4763,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,perch‚ Š tutta un' attesa ! !,DESCRIZIONE
922,922,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,funzio_serviz_sanita;,sancire
6029,6029,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,visita_psicolog ( responso ),DESCRIZIONE
4946,4946,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,giocano tra loro e partecipano nello sport,SPECIFICAZIONE
5508,5508,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",DESCRIZIONE,"si_viene piu_volte chiamati a frequentare_corsi di aggiornamento e questi 
non_sono solo di_carattere addestrativo ma di_carattere conoscitivo, quali 
droga, aids 
",DESCRIZIONE
5774,5774,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,DESCRIZIONE,molto necessarie,GIUDIZIO
476,476,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,sentiamo la radio e la tv,DESCRIZIONE
1805,1805,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"devono introdurre il lavoro 
devono fare qualche palestra",GIUDIZIO
1503,1503,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"il lavoro, la pulizia e devo essere libera di_uscire.",sancire
3811,3811,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,non come me perché io mi sento colpevole di un unico reato quale sarebbe il favoreggiamento ma non mi vuole ascoltare nessuno,COMMENTO
6870,6870,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,"avere più fiducia dei detenuti,",GIUDIZIO
1537,1537,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,le visite improvvisamente dei direttori,GIUDIZIO
7164,7164,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"terribile , perché_non ero_ancora a_conoscenza_della mia condanna e del_fatto_che sarei stato così a lungo lontano_dalla mia famiglia",COMMENTO
1766,1766,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,cella due_persone,NON RISPOSTA
1334,1334,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"
rispetto_reciproco 
legalità 
cultura",GIUDIZIO
2225,2225,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,non uso,NON RISPOSTA
34,34,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,ho-av-l-info di-trattam-rieduc con-la-scuola,DESCRIZIONE
6784,6784,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,maggiori incrementi di attività,GENERALIZZAZIONE
5913,5913,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,non_so,GIUSTIFICAZIONE
6959,6959,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,non so,NON RISPOSTA
6883,6883,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,"nonvenire in italia, essere espulsi",GENERALIZZAZIONE
2287,2287,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,eroinomane,sancire
6724,6724,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,loro da_una_parte e noi da un' altra nessuna iniziativa,sancire
947,947,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,opportunit…_lavoro,sancire
6271,6271,Come ti descriverai una volta uscito dal carcere?,DESCRIZIONE,spero di migliorare le condizioni della_mia quando_uscirò e troverò_un_lavoro addatto per_me,DICHIARAZIONE DI INTENTI
5979,5979,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,"i sert_non sono al_momento attuale in_grado_di soddisfare in_modo omogeneo questi bisogni . spesso privi di permesso_sogg in_quanto clandestini , sono i fatto esclusi dai serv_territ .",COMMENTO
4389,4389,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,non_si_comportano_bene detenuti,GIUDIZIO
4636,4636,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,vedo tutto_ci• che succede,sancire
481,481,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"perche mi-muovo all-int-della prigione
",DESCRIZIONE
5345,5345,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,poca formazione_e_aggiornamento,DESCRIZIONE
5907,5907,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,ci si attiene con scrupolo alle varie normative dipartimentali di_cui ora non mi ricordo,GENERALIZZAZIONE
1135,1135,"Se la risposta data alla risposta precedente è per nulla efficaci/poco efficaci 0 efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,io vedo che le persone chiedono sempre di parlare con persone_esterne ,sancire
3255,3255,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"pazienza, essere utile ed amare il prossimo",COMMENTO
2074,2074,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,va_seguito_e_curato,PRESCRIZIONE
7498,7498,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"ero_molto calma , sono cambiata , ho_visto il mondo in_genere , adesso sono nervosa . è malessere",sancire
3047,3047,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,(e di conseguenza nel pianeta i sani sono veramente pochi),SPECIFICAZIONE
1329,1329,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,preparazione al mondo_esterno; corsi e informazione; psicologi,sancire
6106,6106,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,"segnalazione del detenuto definitivo da_parte_dell' istituto_penit , colloqui_con_det , verif_amb_fam e lavorativo , contatti_servizi istituzionali o privato_sociale , partecipaz_equipe interprofessionale all_interno dell' istituto",DESCRIZIONE
7165,7165,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,tanto triste e perso,DESCRIZIONE
756,756,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,le stesse restrizioni lo stesso trattamento.,CONTRAPPOSIZIONE
4421,4421,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"perch‚_non_ci_sono che due_ore soltanto
per_giocare .
",GIUDIZIO
3277,3277,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,se l'imputato l'ha fatto come un primo reato può essere uno sbaglio e purtroppo tutti possiamo sbagliare se l'ha fatto parecchie volte merita la giustizia,RIDIMENSIONAMENTO
5559,5559,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",DESCRIZIONE,confronto_con_altre figure professionali,DESCRIZIONE
3824,3824,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,non ho commesso un reato nella mia ma questi qua sono peggio di enver hoxha (il dittatore comunista albanese),COMMENTO
2347,2347,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,non ho,NON RISPOSTA
3995,3995,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,gli-italiani sono un popolo-buono,COMMENTO
2433,2433,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,persona che_sta_male,sancire
2018,2018,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,050) una cosa cattiva,GIUDIZIO
7029,7029,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,"si, l' informazione e la conoscenza da entrambe le parti",DESCRIZIONE
2998,2998,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,"aperta al colloquio, allegra e disponibile",GIUDIZIO
2456,2456,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,un essere umano negativo,GIUDIZIO
1803,1803,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"che le porte rimangano 
aperte e che non rimaniamo chiuse come lo siamo",DESCRIZIONE
1076,1076,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,educatori con facolt… di rinserimento nel mondo sociale,sancire
1798,1798,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"celle 
se c' è la televisione 
igiene 
cucina",OPINIONE
3482,3482,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,non è brava,GIUDIZIO
4057,4057,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,normale,GIUDIZIO
1327,1327,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"far entrare la famiglia del detenuto anche_se n_ha_permes_soggiorn
lasciar passare la famiglia del detenuto anche_se n_ha_permes_di_soggiorn",CONTRAPPOSIZIONE
1837,1837,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,telefonare,COMMENTO
